Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"27,921.96",-101.17,-0.36%,540.056B,10.068B,10.068B,10.068B,19.342M
ETH-USD,Ethereum USD,"1,838.81",-29.01,-1.55%,221.499B,5.859B,5.859B,5.859B,120.458M
USDT-USD,Tether USD,1.0004,0.0,0.00%,80.240B,18.796B,18.796B,18.796B,80.211B
BNB-USD,BNB USD,310.8,-1.55,-0.50%,49.072B,460.394M,460.394M,460.394M,157.887M
USDC-USD,USD Coin USD,0.9997,-0.0001,-0.01%,32.592B,2.389B,2.389B,2.389B,32.6B
XRP-USD,XRP USD,0.502372,-0.007247,-1.42%,25.967B,565.59M,565.59M,565.59M,51.688B
ADA-USD,Cardano USD,0.3888,0.0011,0.002807,13.517B,197.578M,197.578M,197.578M,34.762B
HEX-USD,HEX USD,0.0711,0.0011,0.015203,12.336B,6.016M,6.016M,6.016M,173.411B
DOGE-USD,Dogecoin USD,0.0834,0.0002,0.25%,11.582B,489.325M,489.325M,489.325M,138.868B
STETH-USD,Lido Staked ETH USD,"1,820.71",-35.33,-1.90%,10.798B,44.878M,44.878M,44.878M,5.931M
MATIC-USD,Polygon USD,1.0911,-0.0226,-2.03%,9.999B,161.52M,161.52M,161.52M,9.164B
SOL-USD,Solana USD,20.14,-0.34,-1.64%,7.812B,198.203M,198.203M,198.203M,387.939M
DOT-USD,Polkadot USD,6.14,-0.07,-1.14%,7.212B,125.593M,125.593M,125.593M,1.174B
BUSD-USD,Binance USD USD,0.999823,-0.000152,-0.02%,7.069B,2.535B,2.535B,2.535B,7.07B
WTRX-USD,Wrapped TRON USD,0.066049,-0.000374,-0.56%,6.716B,"307,261","307,261","307,261",101.676B
LTC-USD,Litecoin USD,89.52,-0.91,-1.00%,6.505B,343.45M,343.45M,343.45M,72.668M
SHIB-USD,Shiba Inu USD,0,0.0,-0.08%,6.446B,123.667M,123.667M,123.667M,589.542T
TRX-USD,TRON USD,0.0662,-0.0004,-0.54%,6.013B,153.535M,153.535M,153.535M,90.9B
AVAX-USD,Avalanche USD,17.35,-0.3,-1.70%,5.660B,93.017M,93.017M,93.017M,326.143M
